experiment,description,micro_f1,macro_f1,precision,recall,mAP,macro_AUROC
EXP-UVVIS-001-FULL,"Ordinary BCE, threshold=0.5",0.5161059413027917,0.4228869762293475,0.6683661645422944,0.4203468882087159,0.5137026235471229,0.854026251493069
EXP-UVVIS-002-FULL,"sqrt(pos_weight), cap=20",0.4615821885362387,0.37291700489347024,0.48083376100430303,0.44381285526891123,0.4212478531371982,0.8150667526625782
EXP-UVVIS-001-CALIBRATED,Seed42 BCE + validation-calibrated thresholds,0.5790138321928872,0.5018989965589922,0.48492301638054014,0.7184083952776563,0.5137026235471229,0.854026251493069
