metric,seed42,seed123,seed2026,mean,sample_sd
test_loss,0.26784744389012527,0.27731466810358535,0.2875372735008181,0.27756646183150957,0.009847329464661748
test_micro_f1,0.5161059413027917,0.5088610951518098,0.4425173082912105,0.489161448248604,0.040557105335705786
test_macro_f1,0.4228869762293475,0.38641031215067484,0.311809084715883,0.37370212436530176,0.05661888398194085
test_micro_precision,0.6683661645422944,0.6464907355418305,0.6459192950555983,0.6535920650465744,0.012797935301813394
test_micro_recall,0.4203468882087159,0.41954525579361607,0.3365398629937327,0.39214400233202157,0.048156265296388154
test_mAP,0.5137026235471229,0.5115776759134462,0.4906948088740748,0.505325036111548,0.012714618058618333
test_macro_AUROC,0.854026251493069,0.8508782962937801,0.8452668761503324,0.8500571413123938,0.004437046960121927
