epoch,train_loss,val_loss,val_micro_f1,val_macro_f1,val_micro_precision,val_micro_recall,val_mAP,val_macro_AUROC,learning_rate,epoch_seconds,peak_cuda_memory_GB
1,0.25887576217446706,0.23906770746418274,0.7784576121454045,0.7176351501300341,0.7658533444923711,0.7914836992681304,0.8170471275448686,0.9588847136439104,0.001,61.88031983375549,1.5155887603759766
2,0.17710933607464596,0.17636732389182874,0.8336124977196968,0.7964913533746963,0.8311452098283674,0.8360944777112442,0.8704663453587921,0.971153063853316,0.001,14.27711534500122,1.1159124374389648
3,0.1508719499721484,0.16821753388009153,0.8385415021011723,0.7960987331432062,0.7984535772308803,0.8828675981370592,0.8864041099785859,0.9735042471625042,0.001,14.256848335266113,1.1153020858764648
4,0.13437982138172225,0.3153091239806142,0.7461319861067256,0.7285394909308379,0.7100360576923077,0.7860944777112442,0.8499014566294465,0.9636194315748959,0.001,14.594892978668213,1.1153020858764648
5,0.12009075278724131,0.15068846893699922,0.8649157649637036,0.8470785552465571,0.8910328770989135,0.8402860944777113,0.9073921426961279,0.9803076367580343,0.001,14.232062578201294,1.1153020858764648
6,0.11016170113997571,0.13837684062924777,0.870762477697251,0.8438965213491362,0.8287199831695369,0.9172987358616101,0.9211768920760354,0.9821738785674912,0.001,14.235829830169678,1.1153020858764648
7,0.10099541983397647,0.1396126937250007,0.8699770471664565,0.8531059300380168,0.8460982204615481,0.8952428476380572,0.9231524905962832,0.9815166173130183,0.001,14.228137731552124,1.1153020858764648
8,0.09411840717983971,0.12674952471222278,0.8844061940107499,0.8680659080573171,0.8518119068162209,0.9195941450432469,0.9302534587962535,0.9842146273800841,0.001,14.22900104522705,1.1153020858764648
9,0.08767503122229436,0.30467377663319894,0.8025058731401723,0.7679513850834362,0.8413793103448276,0.767065868263473,0.8881468109471575,0.973399006998105,0.001,14.207132816314697,1.1153020858764648
10,0.08253445152063638,0.25866576194689717,0.839260993659312,0.804840656197426,0.8629925134441672,0.8167997338656021,0.8936646777725814,0.9757105389420563,0.001,14.234989404678345,1.1153020858764648
11,0.07692541607295673,0.11610245648058379,0.8958148679354745,0.8747790873443707,0.8687525396180414,0.9246174318030606,0.938780256354927,0.9860860308953606,0.001,14.82513427734375,1.1153020858764648
12,0.07318716076964975,0.11462881294000994,0.8935307370453814,0.8743231843539957,0.8653990024937656,0.9235528942115768,0.9424347950511471,0.9863976657598047,0.001,14.186502456665039,1.1153020858764648
13,0.06790418809931828,0.11838691803590054,0.8978408205876017,0.8822008725608347,0.8944761778981081,0.901230871590153,0.9408123749785845,0.9861292028418409,0.001,14.155560493469238,1.1153020858764648
14,0.06463487069557194,0.17047796563644474,0.8746193155422495,0.8575426957279288,0.9058056238640009,0.8455089820359282,0.9327351928199457,0.9843465284588374,0.001,14.142523050308228,1.1153020858764648
15,0.06022588461138902,0.10450494379395192,0.9117216117216117,0.8968728363125454,0.9126333333333333,0.9108117099135064,0.9470352215042854,0.9890137573052147,0.001,14.150300025939941,1.1153020858764648
16,0.057221374971544864,0.2166414091637759,0.8448820010363183,0.8354258262593197,0.8000713712195557,0.8950099800399202,0.9147024690888667,0.9786968635430148,0.001,14.14253854751587,1.1153020858764648
17,0.05330580798374155,0.12500444789272952,0.8920420953056639,0.8772895141953984,0.9061395380761179,0.8783765801729874,0.9409734536594884,0.9853326624994939,0.001,14.148018598556519,1.1153020858764648
18,0.04928655803051493,0.15169610296042507,0.8888251375341726,0.877096901552685,0.9019453387218302,0.8760811709913506,0.9385338985021703,0.9860694815165445,0.001,14.15181827545166,1.1153020858764648
19,0.04840853621744781,0.12931414191550775,0.8930422087818651,0.8732040870749448,0.8624236978279057,0.9259148369926813,0.9381456714102872,0.9854121109956431,0.001,14.146853923797607,1.1153020858764648
20,0.044925492366462996,0.1853449440647114,0.8721374691337145,0.8377190454599617,0.8870501617009564,0.8577178975382568,0.9161575935023005,0.9797791870843888,0.001,14.158852577209473,1.1153020858764648
21,0.04339040334342154,0.12660077182328827,0.9051320870260432,0.8866724592317653,0.9261322101159188,0.8850632069194944,0.9440853715426462,0.9881313124315118,0.001,14.145294904708862,1.1153020858764648
22,0.03865364806445084,0.1308426777191168,0.9047457627118644,0.8812579867071753,0.9222529371112647,0.887890884896873,0.9461203701612576,0.9882326662611585,0.001,14.153804779052734,1.1153020858764648
23,0.03611482586646182,0.1345035828791766,0.9061781803433825,0.8914079625591808,0.9208682511333974,0.8919494344644046,0.9453972113959989,0.9876475030596286,0.001,14.1577467918396,1.1153020858764648
