metric,seed42,seed123,seed2026,mean,sample_sd
test_loss,0.07795466595594729,0.06856874866869828,0.06711059286771447,0.07121133583078668,0.005885229856824594
test_micro_f1,0.9155277214956714,0.9135302349561759,0.9161823582590727,0.91508010490364,0.0013815606984632909
test_macro_f1,0.8838221744384969,0.8975763185865006,0.8840411537370125,0.8884798822540033,0.007878505787690738
test_micro_precision,0.9257245027192132,0.9233918999404407,0.9279440893971671,0.925686830685607,0.0022763285349592694
test_micro_recall,0.9055531263664189,0.9038769858621192,0.9047150561142691,0.9047150561142691,0.0008380702521498806
test_mAP,0.9531025903538727,0.9597717802836158,0.9514936900962675,0.9547893535779186,0.004389256419709762
test_macro_AUROC,0.9907747215089481,0.9915742143329738,0.990961076716969,0.9911033375196303,0.00041830108283092164
