experiment,description,micro_f1,macro_f1,precision,recall,mAP,macro_AUROC
EXP-RAMAN-001-FULL,"Ordinary BCE, threshold=0.5",0.9155277214956714,0.8838221744384969,0.9257245027192132,0.9055531263664189,0.9531025903538727,0.9907747215089481
EXP-RAMAN-002-FULL,"sqrt(pos_weight), cap=20",0.9023984546869132,0.8954498991585058,0.8861840025292443,0.9192173152601661,0.9559423463378713,0.9910905267864693
EXP-RAMAN-001-CALIBRATED,Seed42 BCE + validation-calibrated thresholds,0.9131260299491295,0.8953758367476098,0.8980059188275085,0.9287640285672643,0.9531025903538727,0.9907747215089481
