label,positive_test_samples_seed42,precision_seed42,precision_seed123,precision_seed2026,precision_mean,precision_sd,recall_seed42,recall_seed123,recall_seed2026,recall_mean,recall_sd,f1_seed42,f1_seed123,f1_seed2026,f1_mean,f1_sd,average_precision_seed42,average_precision_seed123,average_precision_seed2026,average_precision_mean,average_precision_sd,auroc_seed42,auroc_seed123,auroc_seed2026,auroc_mean,auroc_sd
alkyne,1514,0.9953886693017128,0.9895219384413884,0.9986772486772487,0.99452928547345,0.004637761507658852,0.9980184940554822,0.9980184940554822,0.9973579920739762,0.9977983267283135,0.00038134099682271956,0.9967018469656992,0.9937520552449852,0.9980171844018506,0.996157028870845,0.002184136385060745,0.9990660459199254,0.9991501630202745,0.9991422125921642,0.9991194738441214,4.6440388022704465e-05,0.9999167676494919,0.9999299005047969,0.9999355165284473,0.9999273948942453,9.622301112405482e-06
nitrile,1517,0.9921311475409836,0.9966733200266135,0.9947403024326101,0.9945149233334024,0.0022794581650192485,0.997363216875412,0.987475280158207,0.997363216875412,0.994067237969677,0.005708802925408293,0.9947403024326101,0.9920529801324504,0.9960500329163924,0.9942811051604843,0.0020377081097278215,0.9983524352984935,0.9993035529574736,0.9988657885869784,0.9988405922809819,0.0004760591777110003,0.9998719156836615,0.9997777859301951,0.9998982225634482,0.9998493080591015,6.33211984529556e-05
hydroxyl,4334,0.9942143022448507,0.9898943500229674,0.9833561331509348,0.9891549284729176,0.00546671905163656,0.9912321181356715,0.9944623904014767,0.9951545916012922,0.9936163667128134,0.0020936252251678427,0.9927209705372617,0.9921731123388582,0.9892201834862385,0.9913714221207861,0.0018830581240278311,0.9995734557710493,0.9995950288193756,0.9995440412662379,0.9995708419522209,2.5594075103297905e-05,0.9997428494289882,0.9997680254758646,0.9997357248879006,0.9997488665975844,1.6970171894894676e-05
carbonyl,3898,0.9720050441361917,0.9744497849734379,0.9816326530612245,0.976029160723618,0.005004351528773281,0.9887121600820934,0.9881990764494613,0.987172909184197,0.9880280485719172,0.0007837481947932299,0.9802874221035228,0.9812762705387849,0.9843949859299054,0.9819862261907377,0.002143839527053377,0.9977936635419369,0.9984042246321935,0.9985312808758929,0.9982430563500078,0.0003943364606844364,0.9992187097079231,0.9992836148156952,0.9993739679226417,0.9992920974820867,7.797592597223149e-05
aldehyde,1284,0.9466869763899467,0.95655546935609,0.9688747007182761,0.9573723821547709,0.011116397240471906,0.9680685358255452,0.9602803738317757,0.9454828660436138,0.9579439252336449,0.011472679020760289,0.9572583750481325,0.9584143023707734,0.9570358691367757,0.9575695155185605,0.000740017458848749,0.9900909032056053,0.9916620474225751,0.9921290809430995,0.99129401052376,0.0010677689317316265,0.9989442336440608,0.9988524828769632,0.9991169820948844,0.9989712328719694,0.0001343006991827948
alkene,1745,0.9424581005586592,0.9851517107811492,0.9770531400966184,0.9682209838121423,0.02267578723953224,0.9667621776504298,0.8744985673352436,0.9272206303724928,0.9228271251193887,0.04628845010804451,0.9544554455445544,0.9265330904675168,0.9514848573948839,0.9441577978023183,0.015335541397903028,0.9909703636319109,0.988219053053486,0.9877160030984896,0.9889684732612956,0.001751838635912997,0.9985191122272759,0.9978293777369303,0.9975980296651881,0.9979821732097981,0.0004791744086887571
imine,1295,0.8921417565485362,0.841541755888651,0.8146179401993355,0.8494338175455076,0.039359865386366204,0.8942084942084942,0.9104247104247104,0.9467181467181467,0.9171171171171171,0.026886932368225647,0.8931739298110297,0.8746290801186943,0.8757142857142857,0.8811724318813365,0.010407755868269458,0.9569252181464928,0.9561821804185227,0.9613103463268148,0.9581392482972767,0.002771267453892133,0.993256624268091,0.992889984187263,0.9938651139832041,0.9933372408128527,0.0004925381205551469
ether,5260,0.8847867600254615,0.9167029143105698,0.8775762572135202,0.8930219771831839,0.020822774193744203,0.7927756653992395,0.8013307984790875,0.8095057034220532,0.8012040557667934,0.008365739109459354,0.8362578963200642,0.855143031040779,0.8421677215189873,0.8445228829599435,0.00966033992231187,0.9336455817019822,0.9480681018868123,0.9328065788535223,0.9381734208141056,0.00857930746580788,0.9497814340722035,0.961802744773402,0.950260252641677,0.9539481438290942,0.0068064957064086365
amide,1053,0.857707509881423,0.8366013071895425,0.9023861171366594,0.8655649780692083,0.033588914237976136,0.8243114909781576,0.8509021842355176,0.7901234567901234,0.8217790440012662,0.030468399912671022,0.8406779661016949,0.8436911487758946,0.8425316455696202,0.8423002534824032,0.0015198599213560094,0.9267352208253445,0.9304675995873666,0.925196074564322,0.9274662983256777,0.0027107378609460605,0.9903885166013492,0.9911845638567077,0.9896484000552859,0.9904071601711143,0.0007682515819833357
amine,3491,0.8381552563735319,0.8137121005189839,0.8695521490832582,0.8404731686585913,0.027992093418250253,0.8381552563735319,0.8533371526783157,0.8287023775422515,0.8400649288646997,0.012427919104530468,0.8381552563735319,0.8330536912751678,0.8486359636256967,0.8399483037581321,0.007944373297754867,0.9235073680013347,0.9265862095868915,0.9320800763826981,0.9273912179903081,0.004342679028566688,0.9594606513391806,0.9610683380023719,0.9640614025105654,0.9615301306173726,0.0023348805429189677
