experiment,description,micro_f1,macro_f1,precision,recall,mAP,macro_AUROC
EXP-IR-001-FULL,"Ordinary BCE, threshold=0.5",0.9385174418604652,0.9184889003993978,0.9359327438759241,0.9411164553272118,0.9700594012774965,0.9953896982083613
EXP-IR-002-FULL,"sqrt(pos_weight), cap=20",0.9250760987592787,0.8934054448830328,0.9043260362649219,0.9468007579070107,0.9634713569278166,0.9942830159330722
EXP-IR-001-CALIBRATED,Seed42 BCE + validation-calibrated thresholds,0.9335258550672322,0.92013961198089,0.9248953900075104,0.9423189039498615,0.9700594012774965,0.9953896982083613
