metric,seed42,seed123,seed2026,mean,sample_sd
test_loss,0.050674257532086986,0.052736521460556136,0.04985608405921246,0.051088954350618526,0.001484321391828606
test_micro_f1,0.9385174418604652,0.9460683558579042,0.9370888606214792,0.9405582194466162,0.004825081713540907
test_macro_f1,0.9184889003993978,0.9246312506819162,0.914854181696033,0.919324777592449,0.004941840497231467
test_micro_precision,0.9359327438759241,0.9445392801365634,0.9346770100775755,0.9383830113633543,0.005368328487440999
test_micro_recall,0.9411164553272118,0.9476023903221105,0.9395131904970121,0.9427440120487781,0.00428316403071721
test_mAP,0.9700594012774965,0.9731346026697485,0.9633562884111591,0.9688500974528014,0.00500006692357713
test_macro_AUROC,0.9953896982083613,0.9961984746891114,0.9947074667668309,0.9954318798881012,0.000746398436932363
