2026-07-03 02:15:11	cid=6	cas=97-00-7	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=97-00-7&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404
2026-07-03 02:15:11	cid=7	cas=2715-68-6	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=2715-68-6&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:15:12	cid=8	cas=562-43-6	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=562-43-6&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:12	cid=9	cas=13004-72-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=13004-72-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:14	cid=12	cas=634-94-6	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=634-94-6&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:14	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:15	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:15	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:16	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:16	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=7&Type=IR	reason=download_http_404	message=
