epoch,train_loss,val_loss,val_micro_f1,val_macro_f1,val_micro_precision,val_micro_recall,val_mAP,val_macro_AUROC,learning_rate,epoch_seconds,peak_cuda_memory_GB
1,0.31576516045367736,0.39120535054648387,0.2097631706138231,0.10870643746923427,0.7214942303931156,0.1227212242182302,0.37865397873372597,0.7861049702211144,0.001,43.571085929870605,0.31676340103149414
2,0.29075798187373125,1.3848534985331007,0.24320231958762886,0.08296347561869304,0.2357589006870706,0.2511310711909514,0.24432940230609282,0.6137016318701126,0.001,3.140488862991333,0.25496673583984375
3,0.2845785622373917,1.4754010010285403,0.20407977415535924,0.08083528767749407,0.18765700887623513,0.22365269461077844,0.2568035452053684,0.653285335777003,0.001,3.0652809143066406,0.25191497802734375
4,0.28007061601536837,1.3382219004204934,0.08584271835274784,0.02177820261245677,0.15691818342463332,0.05908183632734531,0.2757437213267776,0.6683016441427084,0.001,3.0867972373962402,0.25191497802734375
5,0.27626185144476856,0.9653805376990956,0.08426500515036556,0.02142621088774213,0.1721235759006466,0.05578842315369262,0.3132935341017871,0.7041867582127642,0.001,3.052006483078003,0.25191497802734375
6,0.2733255778788859,1.7128926786764056,0.2619696326620025,0.11849485363212899,0.22259708229600503,0.31826347305389224,0.22167719715309747,0.6387268503994442,0.001,3.0712838172912598,0.25191497802734375
7,0.2705156775619634,0.3100838027013468,0.429125299746756,0.2966428648997911,0.6575097864157682,0.31849634065202925,0.4943173545923222,0.8419530187367599,0.001,3.050194501876831,0.25191497802734375
8,0.2683918577025083,0.5751887462133803,0.23241648424859618,0.11473584746965762,0.40808823529411764,0.1624750499001996,0.3712642979803841,0.7648262021138663,0.001,3.1251649856567383,0.25191497802734375
9,0.2660919435791977,2.153594007560757,0.1746070550338659,0.06016578513347921,0.15377795790166923,0.20196274118429808,0.20380219136003994,0.5784445888764366,0.001,2.9096453189849854,0.25191497802734375
10,0.2639158302748318,1.1853864886536454,0.08699094462863081,0.027438467409211853,0.1697238849198687,0.058483033932135726,0.3097089715146155,0.718221083751171,0.001,2.91973614692688,0.25191497802734375
11,0.26151333569093727,1.839920137845242,0.17826443254929994,0.05813773776453141,0.1873007730920016,0.17005988023952096,0.19711595630770165,0.5714680012643676,0.001,2.8224761486053467,0.25191497802734375
12,0.25974216246634074,2.2493662071764335,0.07948037435396005,0.01670025632496527,0.13238715681712424,0.056786427145708585,0.25007678136289924,0.6277623173586575,0.001,2.80844783782959,0.25191497802734375
13,0.25687628258655854,1.4602712017207289,0.21522035667974604,0.08393919736150128,0.21793253981787797,0.2125748502994012,0.2302569056901473,0.6384019231380583,0.001,2.7894930839538574,0.25191497802734375
14,0.25524285685452136,6.188589853311428,0.07936618572988546,0.016611069507794948,0.13157692011401279,0.05681969394544245,0.16717553580379232,0.4978610821216238,0.001,2.792654275894165,0.25191497802734375
15,0.2529375101593765,1.1299559821352259,0.22916483323066092,0.11992255928928877,0.24331900579330967,0.21656686626746507,0.29869302224599326,0.713705623076536,0.001,2.797438144683838,0.25191497802734375
