cid,iupac_name,pubchem_inchikey,rdkit_inchikey,canonical_smiles,isomeric_smiles,formula,pubchem_molecular_weight,rdkit_molecular_weight,exact_mass,charge,heavy_atom_count,isotope_atom_count,covalent_unit_count,elements,xlogp,tpsa,h_bond_donor_count,h_bond_acceptor_count,rotatable_bond_count,source
69,"2-hydroxy-6-oxohepta-2,4-dienoic acid",HVZGWILTESYJSP-UHFFFAOYSA-N,HVZGWILTESYJSP-UHFFFAOYSA-N,CC(=O)C=CC=C(O)C(=O)O,,C7H8O4,156.14,156.137,156.04225873,0,11,0,1,C;H;O,0.2,74.6,2,4,3,PubChem
70,4-methyl-2-oxopentanoic acid,BKAJNAXTPSGJCU-UHFFFAOYSA-N,BKAJNAXTPSGJCU-UHFFFAOYSA-N,CC(C)CC(=O)C(=O)O,,C6H10O3,130.14,130.143,130.062994177,0,9,0,1,C;H;O,0.9,54.4,1,3,3,PubChem
71,2-oxohexanedioic acid,FGSBNBBHOZHUBO-UHFFFAOYSA-N,FGSBNBBHOZHUBO-UHFFFAOYSA-N,O=C(O)CCCC(=O)C(=O)O,,C6H8O5,160.12,160.125,160.03717335,0,11,0,1,C;H;O,-0.5,91.7,2,5,5,PubChem
72,"3,4-dihydroxybenzoic acid",YQUVCSBJEUQKSH-UHFFFAOYSA-N,YQUVCSBJEUQKSH-UHFFFAOYSA-N,O=C(O)c1ccc(O)c(O)c1,,C7H6O4,154.12,154.121,154.02660867,0,11,0,1,C;H;O,1.1,77.8,3,4,1,PubChem
73,[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate,WHTCPDAXWFLDIH-UHFFFAOYSA-N,WHTCPDAXWFLDIH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O,,C10H15N5O10P2,427.20,427.203,427.02941569,0,27,0,1,C;H;N;O;P,-4.6,233,6,14,6,PubChem
75,3-aminopropanal,PCXDJQZLDDHMGX-UHFFFAOYSA-N,PCXDJQZLDDHMGX-UHFFFAOYSA-N,NCCC=O,,C3H7NO,73.09,73.095,73.052763847,0,5,0,1,C;H;N;O,-1.3,43.1,1,2,2,PubChem
76,"3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one",FMGSKLZLMKYGDP-UHFFFAOYSA-N,FMGSKLZLMKYGDP-UHFFFAOYSA-N,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,,C19H28O2,288.4,288.431,288.208930132,0,21,0,1,C;H;O,3.2,37.3,1,2,0,PubChem
77,2-hydroxy-2-propan-2-ylbutanedioic acid,BITYXLXUCSKTJS-UHFFFAOYSA-N,BITYXLXUCSKTJS-UHFFFAOYSA-N,CC(C)C(O)(CC(=O)O)C(=O)O,,C7H12O5,176.17,176.168,176.06847348,0,12,0,1,C;H;O,-0.2,94.8,3,5,4,PubChem
78,2-amino-3-chloropropanoic acid,ASBJGPTTYPEMLP-UHFFFAOYSA-N,ASBJGPTTYPEMLP-UHFFFAOYSA-N,NC(CCl)C(=O)O,,C3H6ClNO2,123.54,123.539,123.0087061,0,7,0,1,C;Cl;H;N;O,-2.8,63.3,2,3,2,PubChem
79,pyridine-3-carbonitrile,GZPHSAQLYPIAIN-UHFFFAOYSA-N,GZPHSAQLYPIAIN-UHFFFAOYSA-N,N#Cc1cccnc1,,C6H4N2,104.11,104.112,104.037448136,0,8,0,1,C;H;N,0.2,36.7,0,2,0,PubChem
