label_index,label,validation_positive_samples,optimal_threshold,validation_best_f1,test_default_precision,test_default_recall,test_default_f1,test_calibrated_precision,test_calibrated_recall,test_calibrated_f1,test_f1_change
0,aldehyde,1447,0.66015625,0.9764542936288089,0.9466869763899467,0.9680685358255452,0.9572583750481325,0.9603729603729604,0.9626168224299065,0.9614935822637106,0.0042352072155781295
1,alkene,2914,0.4091796875,0.9773740143983545,0.9424581005586592,0.9667621776504298,0.9544554455445544,0.9364991717283269,0.971919770773639,0.953880764904387,-0.0005746806401674132
2,alkyne,1708,0.80322265625,0.9964912280701754,0.9953886693017128,0.9980184940554822,0.9967018469656992,0.9980171844018506,0.9973579920739762,0.9976874793524942,0.0009856323867950545
3,amide,1297,0.433349609375,0.8514774494556766,0.857707509881423,0.8243114909781576,0.8406779661016949,0.8507751937984496,0.8338081671415005,0.8422062350119904,0.0015282689102955604
4,amine,3728,0.1649169921875,0.8209690665206679,0.8381552563735319,0.8381552563735319,0.8381552563735319,0.7439198855507868,0.8937267258665139,0.811971372804164,-0.02618388356936796
5,c_f_bond,230,0.0297088623046875,0.8105726872246696,0.9125,0.5069444444444444,0.6517857142857143,0.8344827586206897,0.8402777777777778,0.8373702422145328,0.18558452792881852
6,carbonyl,4238,0.666015625,0.9816167805797784,0.9720050441361917,0.9887121600820934,0.9802874221035228,0.9783273839877613,0.9843509492047203,0.9813299232736573,0.001042501170134491
7,ester,633,0.394775390625,0.8222222222222223,0.8517110266159695,0.7202572347266881,0.7804878048780488,0.8249566724436742,0.7652733118971061,0.7939949958298582,0.013507190951809411
8,ether,5794,0.1790771484375,0.840296094614141,0.8847867600254615,0.7927756653992395,0.8362578963200642,0.8327538883806038,0.8652091254752852,0.8486713286713287,0.012413432351264464
9,hydroxyl,3949,0.232177734375,0.9915350600126343,0.9942143022448507,0.9912321181356715,0.9927209705372617,0.9889908256880734,0.9949238578680203,0.9919484702093397,-0.0007725003279219766
10,imine,1191,0.6875,0.8785834738617201,0.8921417565485362,0.8942084942084942,0.8931739298110297,0.9168039538714992,0.8594594594594595,0.8872060581905141,-0.005967871620515597
11,ketone,1223,0.439697265625,0.8464696223316913,0.852803738317757,0.8608490566037735,0.8568075117370892,0.840754716981132,0.8757861635220126,0.8579129765113592,0.001105464774269982
12,nitrile,1697,0.6875,0.9952885747938752,0.9921311475409836,0.997363216875412,0.9947403024326101,0.9934340118187788,0.997363216875412,0.9953947368421052,0.000654434409495086
13,nitro,11,0.017852783203125,0.8333333333333333,1.0,0.6666666666666666,0.8,0.75,0.8,0.7741935483870968,-0.02580645161290329
