epoch,train_loss,val_loss,val_micro_f1,val_macro_f1,val_micro_precision,val_micro_recall,val_mAP,val_macro_AUROC,learning_rate,epoch_seconds,peak_cuda_memory_GB
1,0.18202042548113878,0.1444845728030347,0.7869501656211255,0.6954515620922708,0.8867342257808916,0.7073519627411843,0.7824764971309959,0.9555711702425629,0.001,55.047327518463135,1.5155882835388184
2,0.12527097741012871,0.13146586102037397,0.8084144267988279,0.7337603537192215,0.8858717196543249,0.7434131736526947,0.8436748587644958,0.9653919532758287,0.001,14.147897243499756,1.1159119606018066
3,0.10653333131082768,0.13809076642739407,0.8027768667322619,0.7194924880508458,0.8874788494077834,0.7328343313373253,0.8665093827230841,0.9710254826587761,0.001,14.149343490600586,1.1153016090393066
4,0.09543628280881132,0.14617873171763246,0.8161818181818182,0.7615024083782033,0.8999599037690457,0.7466733200266135,0.8745037571210776,0.9712394497947224,0.001,14.146325826644897,1.1153016090393066
5,0.08568012440488998,0.106001306081551,0.8581413087825732,0.8094737736980168,0.9192414395925969,0.8046573519627411,0.9010724215694598,0.9792575059060368,0.001,14.156196594238281,1.1153016090393066
6,0.07948143400166136,0.09180288864994865,0.880904880037472,0.840242476601443,0.9204582532719429,0.8446107784431137,0.9130797657661537,0.9823836963354827,0.001,14.16008996963501,1.1153016090393066
7,0.07309212187600753,0.1902145006083421,0.7818092105263158,0.7205620398906786,0.7731620039037085,0.7906520292747837,0.8846162611857638,0.9723923525319782,0.001,14.155337810516357,1.1153016090393066
8,0.06760520285056326,0.09045119463534194,0.8833503292600723,0.8450544510239896,0.919307838975429,0.8500998003992016,0.9226890687361315,0.9822172797788651,0.001,14.143454790115356,1.1153016090393066
9,0.06318998427475218,0.09014714305377981,0.8879255085860801,0.8345024085102937,0.9006570392170282,0.8755489021956088,0.9249494248860055,0.9848063587976036,0.001,14.159272193908691,1.1153016090393066
10,0.059782862012585244,0.16284332798567053,0.8335453566885214,0.7857232059067317,0.8176233442119408,0.8500998003992016,0.9076173418170168,0.9777754095708019,0.001,14.139734029769897,1.1153016090393066
11,0.05582279002077917,0.09236177911138362,0.8836424957841484,0.8388392799953676,0.9152349041134954,0.8541583499667332,0.9241250430814276,0.9826204481674209,0.001,14.368075132369995,1.1153016090393066
12,0.0525666019351408,0.1552447767332902,0.8416668182396915,0.799201031887773,0.9284883020988001,0.7696939454424484,0.913376740934491,0.9789099401910956,0.001,14.148463726043701,1.1153016090393066
