label_index,label,validation_positive_samples,optimal_threshold,validation_best_f1,test_default_precision,test_default_recall,test_default_f1,test_calibrated_precision,test_calibrated_recall,test_calibrated_f1,test_f1_change
0,aldehyde,1447,0.326171875,0.7192521180251242,0.6548672566371682,0.6915887850467289,0.6727272727272727,0.5876460767946577,0.822429906542056,0.685491723466407,0.012764450739134237
1,alkene,2914,0.2117919921875,0.6193490054249547,0.6348267117497887,0.4303724928366762,0.5129781420765027,0.40823170731707314,0.7673352435530086,0.5329353233830846,0.01995718130658186
2,alkyne,1708,0.2103271484375,0.5210246495891735,0.5954692556634305,0.36459709379128136,0.4522736583367472,0.3984812150279776,0.6585204755614267,0.4965139442231076,0.044240285886360364
3,amide,1297,0.3076171875,0.5261248185776488,0.5744336569579288,0.3371320037986705,0.4248952722920407,0.3846749226006192,0.47198480531813863,0.42388059701492536,-0.001014675277115351
4,amine,3728,0.2379150390625,0.5564003749609415,0.6538243626062323,0.3305643082211401,0.439117199391172,0.49536178107606677,0.7648238327126897,0.6012836392298164,0.16216643983864443
5,c_f_bond,230,0.2144775390625,0.47135842880523726,0.6029411764705882,0.2847222222222222,0.3867924528301887,0.26639344262295084,0.4513888888888889,0.33505154639175255,-0.05174090643843615
6,carbonyl,4238,0.474609375,0.8192325473878872,0.8288288288288288,0.8024628014366342,0.8154327424400417,0.8183467219486914,0.8101590559261159,0.8142323063039835,-0.0012004361360582472
7,ester,633,0.470703125,0.5221757322175732,0.623608017817372,0.45016077170418006,0.5228758169934641,0.6088794926004228,0.4630225080385852,0.5260273972602739,0.003151580266809839
8,ether,5794,0.346435546875,0.6781938991241316,0.6095787898225358,0.5420152091254753,0.573815034718728,0.5434423101386592,0.8121673003802281,0.651169880344486,0.077354845625758
9,hydroxyl,3949,0.234619140625,0.5055089623417202,0.5996488147497805,0.15759113982464237,0.2495888909190572,0.4116518820426756,0.792339640055376,0.5418112969390975,0.29222240602004024
10,imine,1191,0.323974609375,0.36415565869332384,0.5214007782101168,0.20694980694980694,0.2962962962962963,0.3614383137011779,0.45019305019305017,0.40096286107290235,0.10466656477660607
11,ketone,1223,0.342529296875,0.5873768697555636,0.7394094993581515,0.4528301886792453,0.5616772306192102,0.622792937399679,0.610062893081761,0.6163621922160445,0.054684961596834336
12,nitrile,1697,0.1121826171875,0.3177215189873418,0.75,0.005932762030323006,0.011772400261608895,0.2110827561064528,0.38167435728411336,0.271830985915493,0.26005858565388407
13,nitro,11,0.07781982421875,0.12903225806451613,0.0,0.0,0.0,0.125,0.13333333333333333,0.12903225806451613,0.12903225806451613
