epoch,train_loss,val_loss,val_micro_f1,val_macro_f1,val_micro_precision,val_micro_recall,val_mAP,val_macro_AUROC,learning_rate,epoch_seconds,peak_cuda_memory_GB
1,0.31438003617991767,0.8228688753309662,0.11868551991679083,0.03366467706542439,0.3829131144567386,0.07022621423819028,0.2873355346080099,0.6846918814178953,0.001,41.0383677482605,0.31590890884399414
2,0.2912907543445739,0.6241695818626662,0.18906817605812284,0.07184525636206959,0.6158503026967529,0.11167664670658682,0.33013053090619493,0.7474548116892933,0.001,3.035490036010742,0.25518035888671875
3,0.2846896631329611,1.146771120920395,0.0009304798617572776,0.000967348027221655,0.4375,0.00046573519627411843,0.2954059432677368,0.6833102745224263,0.001,3.0094316005706787,0.25301361083984375
4,0.27971474629606086,1.3364801513892497,0.29089814847594436,0.1068487638994817,0.3108496633124007,0.27335329341317366,0.22733896187055527,0.6331643648365953,0.001,3.080505847930908,0.25301361083984375
5,0.276364766614362,0.6347766359353247,0.07179581344105766,0.055267414479861166,0.44839449541284404,0.03902195608782435,0.33051330470438345,0.7303214185132317,0.001,3.0713489055633545,0.25301361083984375
6,0.27336483509415693,2.039718255094163,0.20233882412114462,0.06850481904370609,0.21992268343160606,0.18735861610113108,0.2138455446704776,0.5903987935594298,0.001,3.0609426498413086,0.25301361083984375
7,0.2703939424428722,1.550170537825037,0.16978920979633008,0.08568618434472916,0.15321393194656385,0.19038589487691285,0.2940272659260209,0.7027345728512301,0.001,3.0599331855773926,0.25301361083984375
8,0.2680850379159589,1.938595624139373,0.08070791421522111,0.01771633237201927,0.1406715183592458,0.05658682634730539,0.24030951662880257,0.6154325737010621,0.001,3.1283533573150635,0.25301361083984375
9,0.2655497511814676,1.59081381799517,0.07149928500714993,0.026856509717192122,0.20621827411167512,0.04324683965402528,0.27514515120545646,0.6657251448813417,0.001,3.1335036754608154,0.25301361083984375
10,0.2636122870162073,2.2215470823592556,0.16397569735826256,0.051477307680693696,0.16546981911794595,0.16250831669993346,0.20310571213039283,0.551076950832296,0.001,3.0576236248016357,0.25301361083984375
11,0.2612104854739804,2.4801554944535247,0.004403549129148867,0.0046060772721022965,0.1810810810810811,0.0022288755821689953,0.2146182284046412,0.5629544465098507,0.001,3.0206916332244873,0.25301361083984375
12,0.2589271086353437,0.2884146526137905,0.502433577042203,0.40243370208362483,0.6851905062927418,0.39664005322687956,0.5160956495568406,0.8509584284658783,0.001,2.9205501079559326,0.25301361083984375
13,0.2565374649906097,2.2860271427629724,0.14933076721196745,0.047315361325333746,0.13292322068213674,0.17035928143712575,0.19975924091907418,0.5558962793350888,0.001,2.8835504055023193,0.25301361083984375
14,0.2544053159153743,3.2807739132881975,0.0026441036488630354,0.003005936725031938,0.20408163265306123,0.0013306719893546241,0.17623833847216372,0.5284626983558741,0.001,2.9003608226776123,0.25301361083984375
15,0.2519683910259249,1.3710535667304604,0.047597611116112964,0.02780951331431325,0.2431769395890831,0.026380572188955422,0.28262547105794183,0.6817993400308134,0.001,2.9150707721710205,0.25301361083984375
16,0.24955797743253444,0.835217989581124,0.07729051742734754,0.05748454798431847,0.5249058183340309,0.041716566866267464,0.3557619512975956,0.7486567202787412,0.001,2.9056615829467773,0.25301361083984375
17,0.24753944202098935,1.0059219587612351,0.04707649931138099,0.046580964001183556,0.3983050847457627,0.02501663339986693,0.32940081675768923,0.7208398580187746,0.001,2.913705348968506,0.25301361083984375
18,0.24474887210496343,0.32728299757758583,0.4488544972394905,0.3574700155134927,0.6474978050921861,0.34347970725216237,0.4884362530412015,0.8371064712679835,0.001,2.9697771072387695,0.25301361083984375
19,0.2421965491334304,2.2446906637974635,0.1602969115892723,0.05509067221878715,0.1438198683897566,0.18103792415169662,0.19051371654597532,0.5295294682501389,0.001,2.9383320808410645,0.25301361083984375
20,0.23970486782349518,0.9368426619780172,0.25435026039352304,0.15118813078737547,0.2730811801076295,0.23802395209580837,0.3566080709734578,0.7572058220875565,0.001,2.935412645339966,0.25301361083984375
